,precision,recall,f1-score,support
Hello,0.9959839357429718,0.9763779527559056,0.9860834990059643,254.0
Home,0.9880952380952381,1.0,0.9940119760479041,166.0
I love you,0.9795918367346939,0.9411764705882353,0.96,306.0
No,0.9629629629629629,0.9512195121951219,0.9570552147239264,410.0
Okay,0.9807692307692307,0.8571428571428571,0.9147982062780269,119.0
Please,1.0,0.9473684210526315,0.972972972972973,57.0
Thank you,0.9726962457337884,0.9930313588850174,0.9827586206896551,287.0
Yes,0.8202247191011236,1.0,0.9012345679012346,146.0
accuracy,0.9621776504297994,0.9621776504297994,0.9621776504297994,0.9621776504297994
macro avg,0.9625405211425012,0.9582895715774711,0.9586143822024605,1745.0
weighted avg,0.9651586338304042,0.9621776504297994,0.9625078807256922,1745.0
