,precision,recall,f1-score,support
Hello,0.9644268774703557,0.9606299212598425,0.9625246548323472,254.0
Home,0.9707602339181286,1.0,0.9851632047477745,166.0
I love you,0.981203007518797,0.8529411764705882,0.9125874125874126,306.0
No,0.9299516908212561,0.9390243902439024,0.9344660194174758,410.0
Okay,0.8938053097345132,0.8487394957983193,0.8706896551724138,119.0
Please,0.9464285714285714,0.9298245614035088,0.9380530973451328,57.0
Thank you,0.95,0.9930313588850174,0.9710391822827938,287.0
Yes,0.8197674418604651,0.9657534246575342,0.8867924528301887,146.0
accuracy,0.9375358166189112,0.9375358166189112,0.9375358166189112,0.9375358166189112
macro avg,0.9320428915940109,0.9362430410898391,0.9326644599019425,1745.0
weighted avg,0.9399909720268254,0.9375358166189112,0.9373307790664867,1745.0
